DMS_id,h,N_h,exact_or_sampled,V_h,V_h_se,G_h,G_h_se,V_h_over_Vinf,G_h_over_GMD,V_h_N1_mean,V_h_N1_lo,V_h_N1_hi,V_h_N2_mean
4D5_HER2_fitness_1N8Z,1,1045,exact,0.7737572492999961,0.0433067907347674,0.8054770666473507,0.029326102384353438,0.5466170401206498,0.7778066159543968,,,,
4D5_HER2_fitness_1N8Z,1_nested,262,exact,0.7907698626179641,0.08833218207650315,0.818753046062007,0.0589728613609656,0.5586355179378177,0.7906265273455116,,,,
4D5_HER2_fitness_1N8Z,1_samesite,783,exact,0.768064650718505,0.04966688926948443,0.8010347849019613,0.033798905247524436,0.5425955315790179,0.7735169393458757,,,,
4D5_HER2_fitness_1N8Z,1_sampled,1045,exact_enum,0.7737572492999958,0.04330679073476742,0.8054770666473506,0.02932610238435343,0.5466170401206496,0.7778066159543967,,,,
4D5_HER2_fitness_1N8Z,1_nested_sampled,262,exact_enum,0.7907698626179639,0.08833218207650315,0.8187530460620072,0.05897286136096557,0.5586355179378175,0.7906265273455118,,,,
4D5_HER2_fitness_1N8Z,1_samesite_sampled,783,exact_enum,0.7680646507185044,0.049666889269484434,0.8010347849019609,0.03379890524752443,0.5425955315790173,0.7735169393458753,,,,
4D5_HER2_fitness_1N8Z,2,5742,exact_enum,0.1709458805052068,0.008728146276286352,0.33348523601314833,0.006338299740747882,0.12076388467715117,0.3220290603353746,,,,
4D5_HER2_fitness_1N8Z,3,22204,exact_enum,0.15143836647523706,0.004686018476776403,0.2536424987119054,0.0032776835024741547,0.10698289640360563,0.24492915038101104,,,,
4D5_HER2_fitness_1N8Z,4,87305,exact_enum,0.29428108657746577,0.003902386652098092,0.31989957695286164,0.002359933278501656,0.2078934402927911,0.3089101076839043,,,,
4D5_HER2_fitness_1N8Z,5,256157,exact_enum,0.5931348629074449,0.0032854496134680122,0.5117898905317456,0.0018996034745634082,0.4190172349895896,0.49420843785295565,,,,
4D5_HER2_fitness_1N8Z,6,505676,exact_enum,1.054308800092986,0.0030352269759962346,0.8068835697129315,0.0016977609063594014,0.7448113167293138,0.7791648015999825,,,,
4D5_HER2_fitness_1N8Z,7,655001,exact_enum,1.5861124809326062,0.0031019233506594523,1.1451717195784383,0.0016855034600751443,1.1205014368655766,1.1058317819021821,,,,
4D5_HER2_fitness_1N8Z,8,482436,exact_enum,2.0100961400880824,0.0038691417842417726,1.4117988088960947,0.0020497872036861786,1.4200226278292216,1.3632994649079018,,,,
4D5_HER2_fitness_1N8Z,9,146594,exact_enum,2.2924039729178802,0.007260418417589502,1.5856724716122503,0.003758152122092791,1.6194576213286747,1.531200067917943,,,,
4D5_HER2_fitness_1N8Z,random,2162160,closed_form,1.415538105305337,,1.0355749747114213,,1.0,1.0,,,,
5A12_Ang2_fitness_4ZFG,1,5786,exact,0.0044015663090290055,8.48498522887641e-05,0.07439952697765737,0.0007515214437352103,0.7102832324449837,0.8444367377980267,,,,
5A12_Ang2_fitness_4ZFG,1_nested,1332,exact,0.004525118346104038,0.00017378784334824926,0.07547304800196929,0.0015868395785249875,0.7302208942016177,0.856621231820412,,,,
5A12_Ang2_fitness_4ZFG,1_samesite,4454,exact,0.0043646172040932305,9.71958647991801e-05,0.07407848297128478,0.0008531108410184511,0.7043207345869154,0.8407928792354274,,,,
5A12_Ang2_fitness_4ZFG,1_sampled,5786,exact_enum,0.004401566309029015,8.484985228876407e-05,0.07439952697765737,0.0007515214437352125,0.7102832324449853,0.8444367377980267,,,,
